batch_idx	test_loss	test_token_accuracy	log_lhs	fraction_invalid	fraction_unique	top1_tanimoto_similarity	accuracy_top_1	accuracy_top_3	accuracy_top_5	accuracy_top_10
0	2.519155263900757	0.4310722	"[[-17.16595   -15.9924    -16.449898  -14.087316  -16.407661  -12.429721
  -12.966846  -22.411423  -14.882828  -15.046117 ]
 [-15.420186  -12.291607  -13.671661  -14.91365   -12.557823  -13.698648
  -16.094484  -11.815476  -14.789339  -12.643717 ]
 [-14.179242  -12.859837  -17.827198  -14.288973   -9.800886  -17.402885
  -14.569747  -11.119698  -25.319736  -14.0803   ]
 [-13.508377  -12.806267  -10.186457  -14.5903425  -9.976149  -15.505709
  -11.992207  -17.300842  -12.678285  -10.564507 ]]"	1.0	0.0		0.0	0.0	0.0	0.0
1	2.9203503131866455	0.3836478	"[[-14.933956  -20.457518  -15.541285  -22.178907  -12.8840885 -16.077583
  -34.262825  -15.2231865 -22.820938  -12.670621 ]
 [-13.345867  -15.139704  -16.136995  -15.078043  -15.633706  -11.984785
  -12.207976  -13.081627  -13.147811  -13.951782 ]
 [-11.090001  -14.136669  -13.941526  -11.955021  -12.287319  -11.417747
  -12.067955  -15.119318  -14.441923  -12.225379 ]
 [-18.702585  -12.444222  -11.469558  -10.8974    -29.38031   -19.738026
  -21.982178  -11.701253  -15.789752  -11.830002 ]]"	1.0	0.0		0.0	0.0	0.0	0.0
2	2.6156327724456787	0.41411763	"[[-21.75092  -17.43655  -15.153156 -12.878017 -16.679111 -19.491045
  -15.477732 -16.261719 -16.084785 -15.468554]
 [-13.986972 -13.085245 -10.811585 -16.905035 -17.82611  -13.938452
  -11.875397 -14.439694 -10.708452 -13.39076 ]
 [-15.73897  -13.046126 -13.815773 -13.491673 -13.641293 -13.618887
  -15.832207 -16.368212 -14.149918 -11.65623 ]
 [ -9.858873 -15.574075  -9.889787 -15.484734 -16.326029 -12.149214
  -20.355354 -13.291784 -12.306465 -14.617783]]"	0.975	0.025		0.0	0.0	0.0	0.0
3	2.742142677307129	0.4172043	"[[-15.503783 -13.431427 -24.285295  -9.81973  -19.311302 -15.155335
  -13.380519 -14.163826 -17.825924 -15.850018]
 [-16.792433 -11.55237  -14.395277 -16.666397 -17.815712 -11.557812
  -16.91842  -14.946441 -13.54033  -11.697321]
 [-15.977512 -17.588562 -13.87484  -15.838283 -14.00988  -14.621935
  -18.01795  -19.686346 -14.190985 -13.760684]
 [-12.045437 -12.046274 -17.002676 -14.672756 -17.951138 -18.580933
  -14.619629 -15.252506 -16.78795  -18.127272]]"	0.975	0.025		0.0	0.0	0.0	0.0
4	2.4162163734436035	0.45945945	"[[-21.98763  -14.420711 -13.636944 -15.439713 -17.064117 -21.52026
  -23.416613 -15.386171 -15.689603 -13.495501]
 [-11.470762 -13.308751 -12.213318 -14.924791 -20.243608 -15.78403
  -18.030926 -15.474531 -16.593895 -15.359235]
 [-12.979698 -10.041149 -14.422681 -12.583054 -11.634838 -13.872961
  -13.44413  -14.198832 -13.175288 -15.384216]
 [-13.564732 -13.703202 -20.878227 -15.582176 -13.094955 -13.660928
  -17.788534 -15.169553 -15.351143 -18.862604]]"	0.95	0.05		0.0	0.0	0.0	0.0
5	2.8180079460144043	0.36116153	"[[-21.395622  -13.073958  -15.468537  -12.22671   -12.742685  -20.04148
  -20.38478   -12.416748  -14.068527  -13.8464155]
 [-13.402526  -14.215526  -11.365266  -17.930687  -17.522446  -15.100372
  -12.885401  -14.951598  -13.994446  -13.986761 ]
 [-11.106326  -12.585125  -11.846165  -15.8753605 -12.020163  -12.363407
  -12.24227   -15.989183  -13.858185  -12.629864 ]
 [-14.861875  -12.174646  -10.806451  -14.146325  -14.78831   -11.167618
  -11.479195  -15.016579  -16.38298   -16.508926 ]]"	0.975	0.025		0.0	0.0	0.0	0.0
6	2.681858777999878	0.4075	"[[ -9.357527 -15.645899 -14.689543 -16.096912 -10.735323 -16.54046
  -15.962528 -17.927914 -19.377445 -16.067928]
 [-13.00342  -15.674606 -11.443776 -11.318877 -11.911587 -14.720492
  -15.375069 -14.585211 -14.47274  -16.017515]
 [-12.009579 -15.253767 -13.632111 -10.943316 -12.369572  -9.731893
  -11.604972 -12.385252 -12.564871 -13.551   ]
 [-13.355265 -14.105291 -13.290403 -15.53567  -13.218649 -11.874689
  -16.444393 -14.817314 -15.634451 -16.83575 ]]"	0.95	0.05		0.0	0.0	0.0	0.0
7	2.8464651107788086	0.3697632	"[[ -9.615246 -12.993984 -12.555145 -13.126903 -15.265791 -13.476261
  -11.869467 -15.537399 -12.811974 -15.271928]
 [-12.161425 -13.294358 -13.000109 -17.324463 -14.4358   -12.831593
  -14.494435 -11.567913 -15.234367 -14.768471]
 [-14.267107 -19.975843 -14.66791  -11.630104 -14.836066 -13.007641
  -13.106496 -11.493701 -18.445295 -18.544939]
 [-11.62155  -17.833858 -13.577058 -13.266588 -13.413745 -15.579892
  -15.639995 -15.645345 -13.328354 -19.532928]]"	0.975	0.025		0.0	0.0	0.0	0.0
8	2.546480894088745	0.4433735	"[[ -9.970493  -13.8871155 -12.7326355 -13.000062  -14.65922   -13.609402
  -14.476923  -12.778145  -15.1021385 -15.272512 ]
 [-16.28436   -12.512173  -12.527685  -12.190453  -14.002904  -12.220404
  -10.193188  -13.910858  -13.352179   -9.462646 ]
 [-18.3669    -18.83038   -13.050385  -17.117083  -16.62498   -14.64555
  -13.900042  -18.351828  -14.762445  -22.57507  ]
 [-15.269562  -12.358249  -14.601061  -14.24415   -15.09889   -13.732597
  -14.331377  -11.9048195 -15.151175  -16.011215 ]]"	1.0	0.0		0.0	0.0	0.0	0.0
9	2.7401797771453857	0.44665012	"[[-11.844949 -16.310925 -14.46331  -14.918671 -15.246649 -16.941051
  -10.685352 -11.109496 -11.461283 -11.983016]
 [-17.818321 -15.738031 -15.325216 -17.182957 -15.67585  -16.130463
  -14.588522 -17.071033 -15.340008 -16.273481]
 [-12.855154 -15.340002 -14.705767 -12.61014  -16.843243 -14.927718
  -15.522379 -12.431852 -16.500187 -13.342764]
 [-17.198914 -11.014629 -13.973832 -17.053461 -10.022366 -11.383566
  -12.623893 -14.430805 -11.690422 -11.064398]]"	1.0	0.0		0.0	0.0	0.0	0.0
10	2.7362232208251953	0.39148936	"[[-12.335628 -13.434715 -17.255754 -13.123545 -19.862654 -17.829388
  -12.413239 -11.509078 -17.169191 -12.763459]
 [-13.918761 -15.361825 -12.575806 -15.608072 -14.966965 -13.178757
  -14.073452 -12.964867 -13.322444 -12.958282]
 [-10.641288 -18.273483 -14.515205 -21.322472 -14.296452 -16.34365
  -16.164188 -17.839474 -16.186424 -19.105991]
 [-13.210484 -16.789452 -20.405514 -17.967361 -19.47798  -15.656335
  -20.495094 -14.343859 -13.257473 -14.989126]]"	1.0	0.0		0.0	0.0	0.0	0.0
