,image,raw_SMILES,SMILES,node_coords,edges
0,<PIL.Image.Image image mode=1 size=895x588 at 0x72D3F30670E0>,CCC1=C(C)N(CN=NC[SiH2]OC)C(C)=C1.CCC1=C(C)SC(C)=C1CN=NC[SiH2]OC,[X][(CH2)q]C1=C(C)N([(CH2)s]N=N[(CH2)t][SiH2]O[pE3-p])C(C)=C1.[X][(CH2)q]C1=C(C)SC(C)=C1[(CH2)s]N=N[(CH2)t][SiH2]O[pE3-p],"[[-5.0556,2.309],[-3.4976,2.309],[-2.7477,2.309],[-2.0344,2.5408],[-1.6595,3.1902],[-1.5936,1.9341],[-0.8437,1.9341],[0.5953,1.9341],[1.3452,1.9341],[1.978,1.9341],[3.4169,1.9341],[4.3056,1.9341],[5.0556,1.9341],[-2.0344,1.3274],[-1.6595,0.6779],[-2.7477,1.5591],[-5.0742,-1.9981],[-3.4648,-1.9981],[-2.6901,-1.9981],[-2.9295,-2.7349],[-3.6004,-3.1222],[-2.3028,-3.1902],[-1.6761,-2.7349],[-1.0052,-3.1222],[-1.9155,-1.9981],[-1.1408,-1.9981],[0.3457,-1.9981],[1.1204,-1.9981],[1.895,-1.9981],[3.3815,-1.9981],[4.2996,-1.9981],[5.0742,-1.9981]]","[[18,24,1],[24,22,2],[22,21,1],[21,19,1],[19,18,2],[24,25,1],[18,17,1],[17,16,1],[25,26,1],[28,29,1],[19,20,1],[22,23,1],[29,30,1],[30,31,1],[26,27,2],[27,28,1],[2,15,1],[15,13,2],[13,5,1],[5,3,1],[3,2,2],[2,1,1],[5,6,1],[1,0,1],[6,7,1],[9,10,1],[3,4,1],[13,14,1],[10,11,1],[11,12,1],[7,8,2],[8,9,1]]"
1,<PIL.Image.Image image mode=1 size=896x1440 at 0x72D3F30641D0>,CC1=C(F)C(S(=O)(=O)Cl)=CC([N+](=O)[O-])=C1.CC1=C(F)C(S(N)(=O)=O)=CC(N)=C1.CC1=C(F)C(S(N)(=O)=O)=CC([N+](=O)[O-])=C1.CC1=C(F)C=CC([N+](=O)[O-])=C1.O=S(=O)(O)Cl,CC1=C(F)C(S(=O)(=O)Cl)=CC([N+](=O)[O-])=C1.CC1=C(F)C(S(N)(=O)=O)=CC(N)=C1.CC1=C(F)C(S(N)(=O)=O)=CC([N+](=O)[O-])=C1.CC1=C(F)C=CC([N+](=O)[O-])=C1.O=S(=O)(O)Cl,"[[-1.8592,4.3605],[-1.8592,3.5355],[-1.1447,3.123],[-0.4302,3.5355],[-1.1447,2.298],[-0.4302,1.8855],[-0.0177,1.171],[-0.8427,1.171],[0.2843,2.298],[-1.8592,1.8855],[-2.5736,2.298],[-3.2881,1.473],[-3.2881,2.298],[-2.5736,1.0605],[-2.5736,3.123],[2.8654,-5.2496],[2.8654,-6.0746],[3.5799,-6.4871],[4.2943,-6.0746],[3.5799,-7.3121],[4.2943,-7.7246],[5.0088,-7.3121],[4.7068,-8.439],[3.8818,-8.439],[2.8654,-7.7246],[2.1509,-7.3121],[1.4365,-7.7246],[2.1509,-6.4871],[-1.6165,-0.5509],[-1.6165,-1.3759],[-0.902,-1.7884],[-0.1876,-1.3759],[-0.902,-2.6134],[-0.1876,-3.0259],[0.5269,-2.6134],[0.2249,-3.7404],[-0.6001,-3.7404],[-1.6165,-3.0259],[-2.331,-2.6134],[-3.0454,-3.4384],[-3.0454,-2.6134],[-2.331,-3.8509],[-2.331,-1.7884],[-3.5799,8.439],[-3.5799,7.614],[-2.8654,7.2015],[-2.1509,7.614],[-2.8654,6.3765],[-3.5799,5.964],[-4.2943,6.3765],[-5.0088,5.5515],[-5.0088,6.3765],[-4.2943,5.139],[-4.2943,7.2015],[-0.409,7.9179],[-0.409,7.0929],[0.416,7.0929],[-0.409,6.2679],[-1.4056,7.0929]]","[[42,38,2],[38,37,1],[37,32,2],[32,30,1],[30,29,2],[29,42,1],[30,31,1],[32,33,1],[33,35,2],[33,36,2],[33,34,1],[29,28,1],[38,39,1],[39,40,2],[39,41,1],[14,10,2],[10,9,1],[9,4,2],[4,2,1],[2,1,2],[1,14,1],[2,3,1],[4,5,1],[5,6,2],[5,7,2],[5,8,1],[1,0,1],[10,11,1],[11,12,2],[11,13,1],[53,49,2],[49,48,1],[48,47,2],[47,45,1],[45,44,2],[44,53,1],[45,46,1],[49,50,1],[50,51,2],[50,52,1],[44,43,1],[58,55,1],[55,54,2],[55,56,2],[55,57,1],[27,25,2],[25,24,1],[24,19,2],[19,17,1],[17,16,2],[16,27,1],[17,18,1],[25,26,1],[19,20,1],[20,22,2],[20,23,2],[20,21,1],[16,15,1]]"
2,<PIL.TiffImagePlugin.TiffImageFile image mode=1 size=843x178 at 0x72D3F3064CE0>,*C(=O)N(*)O.*C(=O)N(*)OCOC.*NO.CC.[Li]O,*C(=O)N(*)O.*C(=O)N(*)OCO[R].*NO.[R][COCl/TEA].[Li]O,"[[10.0376,-0.6103],[8.5352,-0.6103],[7.784,-1.9108],[7.0329,-0.6103],[5.5305,-0.6103],[7.784,0.6901],[-1.1502,1.3005],[-2.6526,1.3005],[-3.4038,2.6009],[-3.4038,0.0],[-4.9061,0.0],[-2.6526,-1.3005],[-1.1502,-1.3005],[-0.3991,-2.6009],[2.1221,-2.6009],[-8.3427,1.4789],[-6.8404,1.4789],[-6.0892,0.1784],[-4.1878,1.4554],[-2.6854,1.4554],[-10.0329,-0.5962],[-8.5305,-0.5962]]","[[15,16,1],[16,17,1],[18,19,1],[11,12,1],[13,14,1],[11,9,1],[9,10,1],[9,7,1],[7,6,1],[7,8,2],[12,13,1],[20,21,1],[4,3,1],[3,1,1],[3,5,1],[1,0,1],[1,2,2]]"
3,<PIL.TiffImagePlugin.TiffImageFile image mode=1 size=594x254 at 0x72D3F299DCD0>,*C1=C([H])N=C(N([H])C([1*])([H])C2=C([3*])C([3*])=C([3*])C([3*])=C2[3*])N1[7*],*C1=C([H])N=C(N([H])C([1*])([H])C2=C([3*])C([3*])=C([3*])C([0])=C2[3*])N1[7*],"[[-3.467,0.825],[-2.7525,0.4125],[-2.7525,-0.4125],[-3.467,-0.825],[-1.9679,-0.6674],[-1.483,0.0],[-0.658,0.0],[-0.658,0.825],[0.167,0.0],[0.167,0.825],[0.167,-0.825],[0.992,0.0],[1.4045,0.7145],[0.992,1.4289],[2.2295,0.7145],[2.642,1.4289],[2.642,0.0],[3.467,0.0],[2.2295,-0.7145],[2.642,-1.4289],[1.4045,-0.7145],[0.992,-1.4289],[-1.9679,0.6674],[-1.5554,1.3819]]","[[1,2,2],[2,4,1],[4,5,2],[5,22,1],[22,1,1],[5,6,1],[6,8,1],[8,11,1],[11,20,1],[20,18,2],[18,16,1],[16,14,2],[14,12,1],[12,11,2],[16,17,1],[8,9,1],[8,10,1],[6,7,1],[22,23,1],[1,0,1],[2,3,1],[12,13,1],[14,15,1],[20,21,1],[18,19,1]]"
4,<PIL.Image.Image image mode=1 size=669x232 at 0x72D3F28A3AA0>,C=C1C(C)=C[C@@H](O[Si](C)(C)C(C)(C)C)CC1(C)C,[O.]=C1C(C)=C[C@@H](O[Si](C)(C)C(C)(C)C)CC1(C)C,"[[2.22,0.4678],[1.5055,0.0553],[1.5055,-0.7697],[2.22,-1.1822],[0.791,-1.1822],[0.0766,-0.7697],[-0.6379,-1.1822],[-1.3524,-0.7697],[-2.0668,-1.1822],[-0.6379,-0.3572],[-1.5055,0.0553],[-2.22,0.4678],[-0.8319,0.5315],[-1.5055,0.8803],[0.0766,0.0553],[0.791,0.4678],[1.2035,1.1822],[0.3785,1.1822]]","[[14,5,1],[5,4,1],[4,2,2],[2,1,1],[1,15,1],[15,14,1],[15,16,1],[15,17,1],[2,3,1],[1,0,2],[5,6,5],[6,7,1],[7,8,1],[7,9,1],[7,10,1],[10,11,1],[10,12,1],[10,13,1]]"
5,<PIL.TiffImagePlugin.TiffImageFile image mode=1 size=1029x756 at 0x72D3F28A2C60>,CC1=CC=C(C(=O)Cl)C=C1.CCC.CCN(CC)C1=CC(C)=C(N=C=O)C=C1.[H]N(O)C(=O)C1=CC=C(C)C=C1.[H]N(OC(=O)N([H])C1=C(C)C=C(N(CC)CC)C=C1)C(=O)C1=CC=C(C)C=C1,CC1=CC=C(C(=O)Cl)C=C1.CCC.CCN(CC)C1=CC(C)=C(N=C=O)C=C1.[H]N(O)C(=O)C1=CC=C(C)C=C1.[H]N(OC(=O)N([H])C1=C(C)C=C(N(CC)CC)C=C1)C(=O)C1=CC=C(C)C=C1,"[[-11.1221,3.7324],[-9.8216,4.4836],[-8.5211,3.7324],[-7.2254,4.4836],[-7.2254,5.9812],[-5.9249,6.7324],[-5.9249,8.2347],[-4.6244,5.9812],[-8.5211,6.7324],[-9.8216,5.9812],[5.8592,2.4413],[5.108,1.1408],[5.8592,-0.1596],[9.8779,-7.4836],[8.5728,-8.2347],[7.277,-7.4836],[5.9765,-8.2347],[4.6761,-7.4836],[7.277,-5.9812],[5.9765,-5.23],[5.9765,-3.7324],[4.6761,-2.9812],[7.277,-2.9812],[7.277,-1.4789],[8.5775,-0.7277],[9.8779,0.0235],[8.5728,-3.7324],[8.5728,-5.23],[9.8216,4.4836],[9.8216,5.9812],[11.1221,6.7324],[8.5211,6.7324],[8.5211,8.2347],[7.2207,5.9812],[7.2207,4.4836],[5.9249,3.7324],[4.6244,4.4836],[3.3239,3.7324],[4.6244,5.9812],[5.9249,6.7324],[-3.7089,1.4507],[-3.7089,-0.0516],[-5.0094,-0.8028],[-6.3146,-0.0516],[-6.3146,1.4507],[-7.6103,-0.8028],[-8.9108,-0.0516],[-7.6103,-2.3052],[-8.9108,-3.0563],[-10.2113,-2.3052],[-8.9108,-4.554],[-7.6103,-5.3052],[-7.6103,-6.8075],[-6.3146,-7.5587],[-5.0094,-6.8075],[-8.9108,-7.5587],[-10.2113,-6.8075],[-6.3146,-4.554],[-6.3146,-3.0563],[-2.4084,-0.8028],[-2.4084,-2.3052],[-1.108,-0.0516],[-1.108,1.4507],[0.1972,2.1972],[1.493,1.4507],[2.7934,2.1972],[1.493,-0.0516],[0.1972,-0.8028]]","[[1,2,2],[2,3,1],[3,4,2],[4,8,1],[8,9,2],[1,9,1],[1,0,1],[4,5,1],[5,7,1],[5,6,2],[36,35,2],[35,34,1],[34,33,2],[33,39,1],[39,38,2],[36,38,1],[36,37,1],[33,31,1],[31,29,1],[31,32,2],[29,30,1],[29,28,1],[10,11,1],[11,12,1],[19,18,2],[18,27,1],[27,26,2],[26,22,1],[22,20,2],[19,20,1],[20,21,1],[22,23,1],[18,15,1],[15,16,1],[15,14,1],[14,13,1],[16,17,1],[23,24,2],[24,25,2],[50,51,2],[51,57,1],[57,58,2],[58,47,1],[47,48,2],[50,48,1],[48,49,1],[47,45,1],[51,52,1],[52,55,1],[52,53,1],[53,54,1],[55,56,1],[45,46,1],[45,43,1],[43,42,1],[43,44,2],[42,41,1],[41,59,1],[41,40,1],[59,61,1],[59,60,2],[61,67,1],[67,66,2],[66,64,1],[64,63,2],[63,62,1],[61,62,2],[64,65,1]]"
6,<PIL.Image.Image image mode=1 size=235x250 at 0x72D3F28A0EF0>,CC1=C(C)C(=O)C(O)C1,CC1=C(C)C(=O)C(O)C1,"[[-1.3819,0.5071],[-0.6674,0.0946],[-0.0,0.5795],[-0.0,1.4045],[0.6674,0.0946],[1.3819,0.5071],[0.4125,-0.69],[0.825,-1.4045],[-0.4125,-0.69]]","[[8,6,1],[6,4,1],[4,2,1],[2,1,2],[1,8,1],[2,3,1],[1,0,1],[4,5,2],[6,7,1]]"
7,<PIL.Image.Image image mode=1 size=837x904 at 0x72D3F30A80E0>,C#CCCC(C)C.CC(C)CC(F)F.CC(C)CC1CC1.CC(C)CC1CCC1.CC(C)CCC(F)(F)F.CC(C)CCC(F)F.CCCC(C)C.CCCCC(C)C,C#CCCC(C)C.CC(C)CC(F)F.CC(C)CC1CC1.CC(C)CC1CCC1.CC(C)CCC(F)(F)F.CC(C)CCC(F)F.CCCC(C)C.CCCCC(C)C,"[[-3.0094,2.5007],[-3.0094,3.3257],[-3.0094,4.1507],[-2.2949,4.5632],[-2.2949,5.3882],[-1.4699,5.3882],[-3.1199,5.3882],[1.3708,-3.4257],[0.5458,-3.4257],[-0.2792,-3.4257],[0.5458,-4.2507],[-0.1687,-4.6632],[-0.8831,-4.2507],[-0.1687,-5.4882],[-0.2587,5.3722],[0.5663,5.3722],[1.3913,5.3722],[0.5663,4.5472],[-0.1482,4.1347],[-0.9732,4.1347],[-0.5607,3.4202],[3.1379,5.4882],[3.9629,5.4882],[4.7879,5.4882],[3.9629,4.6632],[3.2485,4.2507],[2.4516,4.4642],[2.2381,3.6673],[3.0349,3.4538],[0.5691,0.622],[1.3941,0.622],[2.2191,0.622],[1.3941,-0.203],[0.6797,-0.6155],[0.6797,-1.4405],[-0.0348,-1.853],[1.3941,-1.853],[1.3941,-1.028],[3.2375,0.6606],[4.0625,0.6606],[4.8875,0.6606],[4.0625,-0.1644],[3.348,-0.5769],[3.348,-1.4019],[2.6335,-1.8144],[4.0625,-1.8144],[-4.777,-1.4985],[-4.777,-0.6735],[-4.0625,-0.261],[-4.0625,0.564],[-3.2375,0.564],[-4.8875,0.564],[-2.7941,-1.853],[-2.0796,-1.4405],[-2.0796,-0.6155],[-1.3651,-0.203],[-1.3651,0.622],[-2.1901,0.622],[-0.5401,0.622]]","[[11,12,1],[10,11,1],[10,8,1],[8,7,1],[8,9,1],[11,13,1],[49,48,1],[48,47,1],[47,46,1],[49,50,1],[49,51,1],[56,55,1],[55,54,1],[54,53,1],[53,52,1],[56,57,1],[56,58,1],[30,32,1],[32,33,1],[33,34,1],[34,35,1],[30,29,1],[30,31,1],[34,36,1],[34,37,1],[39,41,1],[41,42,1],[42,43,1],[43,44,1],[39,38,1],[39,40,1],[43,45,1],[4,3,1],[3,2,1],[2,1,1],[1,0,3],[4,5,1],[4,6,1],[14,15,1],[15,16,1],[15,17,1],[17,18,1],[18,19,1],[19,20,1],[20,18,1],[22,24,1],[24,25,1],[25,26,1],[26,27,1],[27,28,1],[28,25,1],[22,21,1],[22,23,1]]"
8,<PIL.Image.Image image mode=1 size=664x468 at 0x72D3F30AA3F0>,[H]OC1=C(CC2=C3C=CC=CC3=CC=C2)C=C(C[C@]2(C(=O)OCC)C[C@@H]2C(=O)NO)C=C1,[H]OC1=C(CC2=C3C=CC=CC3=CC=C2)C=C(C[C@]2(C(=O)OCC)C[C@@H]2C(=O)NO)C=C1,"[[-1.1099,-2.7602],[-0.3954,-2.3477],[-0.3954,-1.5227],[0.319,-1.1102],[1.0335,-1.5227],[1.748,-1.1102],[2.4625,-1.5227],[2.4625,-2.3477],[3.1769,-2.7602],[3.8914,-2.3477],[3.8914,-1.5227],[3.1769,-1.1102],[3.1769,-0.2852],[2.4625,0.1273],[1.748,-0.2852],[0.319,-0.2852],[-0.3954,0.1273],[-0.4,0.9188],[-1.1144,1.3313],[-0.7019,2.0457],[-1.1144,2.7602],[0.1231,2.0457],[0.5356,2.7602],[1.3606,2.7602],[-1.8289,0.9188],[-1.8289,1.7438],[-2.6539,1.7438],[-3.0664,2.4582],[-3.0664,1.0293],[-3.8914,1.0293],[-1.1099,-0.2852],[-1.1099,-1.1102]]","[[16,30,1],[30,31,2],[31,2,1],[2,3,2],[3,15,1],[15,16,2],[2,1,1],[16,17,1],[18,17,6],[19,18,1],[21,19,1],[19,20,2],[21,22,1],[18,25,1],[25,24,1],[24,18,1],[25,26,6],[28,26,1],[28,29,1],[26,27,2],[22,23,1],[1,0,1],[3,4,1],[4,5,1],[5,6,2],[6,11,1],[11,12,2],[12,13,1],[13,14,2],[14,5,1],[6,7,1],[7,8,2],[8,9,1],[9,10,2],[10,11,1]]"
9,<PIL.TiffImagePlugin.TiffImageFile image mode=1 size=849x353 at 0x72D3F30AADE0>,CNC(=O)C(C(=O)O)(C(=O)O)C(=O)N[Y]NC(=O)C(C(=O)O)(C(=O)O)C(=O)N[Y]C,CNC(=O)[X1](C(=O)O)(C(=O)O)C(=O)N[Y]NC(=O)[X2](C(=O)O)(C(=O)O)C(=O)N[Y]C,"[[-4.9126,0.7145],[-3.9407,0.7145],[-3.1157,0.7145],[-3.1157,1.5395],[-2.7032,0.0],[-3.1157,-0.7145],[-3.1157,-1.5395],[-3.9407,-0.7145],[-2.2907,-0.7145],[-2.2907,-1.5395],[-1.4657,-0.7145],[-2.2907,0.7145],[-2.2907,1.5395],[-1.4657,0.7145],[-0.6407,0.7145],[0.7876,0.7145],[1.6126,0.7145],[1.6126,1.5395],[2.0251,0.0],[1.6126,-0.7145],[1.6126,-1.5395],[0.7876,-0.7145],[2.4376,-0.7145],[2.4376,-1.5395],[3.2626,-0.7145],[2.4376,0.7145],[2.4376,1.5395],[3.2626,0.7145],[4.0876,0.7145],[4.9126,0.7145]]","[[0,1,1],[1,2,1],[2,4,1],[2,3,2],[4,5,1],[5,7,1],[5,6,2],[4,11,1],[4,8,1],[11,13,1],[11,12,2],[8,10,1],[8,9,2],[13,14,1],[14,15,1],[15,16,1],[16,18,1],[16,17,2],[18,19,1],[19,21,1],[19,20,2],[18,25,1],[18,22,1],[25,27,1],[25,26,2],[22,24,1],[22,23,2],[27,28,1],[28,29,1]]"
