reactants	products	reaction_type	set
CCc1cc(NC(=O)NC[C@@H]2CCCN(C(=O)OC(C)(C)C)C2)cc(-c2nnnn2C)c1	CCc1cc(NC(=O)NC[C@H]2CCCNC2)cc(-c2nnnn2C)c1	<RX_6>	train
C=O.CC[C@@H]1CN(Cc2ccccc2)[C@H](C)CN1	CC[C@@H]1CN(Cc2ccccc2)[C@H](C)CN1C	<RX_1>	train
CC(C)(C)OC(=O)N1CC(c2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)nccn23)C1	Nc1nccn2c(C3CNC3)nc(-c3ccc(Oc4ccccc4)cc3)c12	<RX_6>	train
CCc1cccc(B(O)O)c1.COc1ccccc1S(=O)(=O)NCc1ccccc1Br	CCc1cccc(-c2ccccc2CNS(=O)(=O)c2ccccc2OC)c1	<RX_3>	train
Cc1[nH]c(=O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1CC(=O)N1CCOCC1	Cc1[nH]c(=O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1CCN1CCOCC1	<RX_7>	train
CCOC(=O)/C=C/C1CCC(F)(F)CC1	CCOC(=O)CCC1CCC(F)(F)CC1	<RX_7>	train
C[Si](C)(C)CCOCn1cc(C#N)c(=O)c2cc([N+](=O)[O-])c(NCCN3CCOCC3)cc21	C[Si](C)(C)CCOCn1cc(C#N)c(=O)c2cc(N)c(NCCN3CCOCC3)cc21	<RX_7>	test
CCCS(=O)(=O)[C@@]1(c2ccc(-c3ccccc3)cc2)C[C@H]2C(=O)N[C@]3(C(=O)O)C[C@H]3C=CCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N2C1.NS(=O)(=O)C1CC1	CCCS(=O)(=O)[C@@]1(c2ccc(-c3ccccc3)cc2)C[C@H]2C(=O)N[C@]3(C(=O)NS(=O)(=O)C4CC4)C[C@H]3C=CCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N2C1	<RX_2>	valid
CC1(C)CN(Cc2ccccc2)c2ccc(O)cc21.CCCCCCN=C=O	CCCCCCNC(=O)Oc1ccc2c(c1)C(C)(C)CN2Cc1ccccc1	<RX_2>	train
CC(C)(C)[Si](C)(C)OCCBr.CC1(C)OB(c2cn[nH]c2)OC1(C)C	CC1(C)OB(c2cnn(CCO[Si](C)(C)C(C)(C)C)c2)OC1(C)C	<RX_1>	train
O=C(Cl)c1ccc(I)cc1.c1nc(N2CCNCC2)c(C2CC2)cc1C1CC1	O=C(c1ccc(I)cc1)N1CCN(c2ncc(C3CC3)cc2C2CC2)CC1	<RX_2>	train
C[O-].OCC(O)Cn1cnc2c(Cl)nc3ccccc3c21	COc1nc2ccccc2c2c1ncn2CC(O)CO	<RX_1>	train
CCc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1ccc2c(c1)CCC2NC(=O)OC(C)(C)C	CCc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1ccc2c(c1)CCC2N	<RX_6>	train
Brc1cccc(-c2ccccc2)c1.COC(=O)c1cccc(Sc2c(C)[nH]c3cc(Cl)ccc23)c1	COC(=O)c1cccc(Sc2c(C)n(-c3cccc(-c4ccccc4)c3)c3cc(Cl)ccc23)c1	<RX_1>	valid
COC(=O)CC1Nc2ccc(C(=O)Nc3ccc(N)nc3)cc2CN(CCc2ccccc2)C1=O	Nc1ccc(NC(=O)c2ccc3c(c2)CN(CCc2ccccc2)C(=O)C(CC(=O)O)N3)cn1	<RX_6>	train
CC(C)(C)[Si](C)(C)OCc1cccc(N)n1.N#Cc1ccc(-c2ccc(S(=O)(=O)Cl)cc2)cc1	CC(C)(C)[Si](C)(C)OCc1cccc(NS(=O)(=O)c2ccc(-c3ccc(C#N)cc3)cc2)n1	<RX_2>	train
CCOC(=O)C(C)Br.Oc1ncn(-c2cccc(Br)c2)n1	CCOC(=O)C(C)Oc1ncn(-c2cccc(Br)c2)n1	<RX_1>	train
CC(=O)C1(O)C=CC=CC1C(=O)Cl.CCCCCCCC(=O)OCC(O)COC(=O)CCCCCCC	CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)C1C=CC=CC1(O)C(C)=O	<RX_2>	train
Nc1ccc(-c2cccc(Cl)c2)cc1C(=O)C1CC1.[Mg+]C1CC1	Nc1ccc(-c2cccc(Cl)c2)cc1C(O)(C1CC1)C1CC1	<RX_3>	train
Brc1cnc(Br)s1.O=C(O)c1ccc(B(O)O)s1	O=C(O)c1ccc(-c2ncc(Br)s2)s1	<RX_3>	valid
COc1cccc(N)c1.Cc1c[nH]c2ncnc(N3CCC(C)(C(=O)O)CC3)c12	COc1cccc(NC(=O)C2(C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1	<RX_2>	train
C1CNCCN1.Fc1cccnc1Cl	Fc1cccnc1N1CCNCC1	<RX_1>	train
CCOC=O.COCCOc1cc(CC(N)CC(C)C)ccc1Cl	COCCOc1cc(CC(CC(C)C)NC=O)ccc1Cl	<RX_2>	train
COC(=O)CBr.Oc1ccc(-c2c(Br)ccc3sc4ccccc4c23)cc1	COC(=O)COc1ccc(-c2c(Br)ccc3sc4ccccc4c23)cc1	<RX_1>	train
C1CCNC1.Cc1[nH]cc2c(=O)n(-c3ccc(Cl)cc3)nc-2c1-c1cccc(C(=O)O)c1	Cc1[nH]cc2c(=O)n(-c3ccc(Cl)cc3)nc-2c1-c1cccc(C(=O)N2CCCC2)c1	<RX_2>	train
